code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,KDJ,BIGVOLUME
600895,张江高科,园区开发,上海,58.18,154868.95,154868.95,1789650.0,780800.56,27744.08,264697.41,1.71,0.25,5.04,3.85,19960422,0,1
002709,天赐材料,化工原料,广东,41.07,16306.83,32535.96,212954.22,110058.55,45991.4,49556.17,1.52,0.99,4.58,11.64,20140123,0,0
000712,锦龙股份,多元金融,广东,53.79,82970.0,89600.0,2332164.0,1841381.75,5876.37,71395.3,0.8,0.304,3.99,5.48,19970415,0,0
300241,瑞丰光电,半导体,深圳,77.38,16357.91,27649.96,183248.11,101881.96,42189.0,63008.1,2.28,0.19,4.14,4.32,20110712,0,0
000048,康达尔,饲料,深圳,348.57,38198.1,39076.87,194422.88,115886.13,32626.88,4406.85,0.11,0.077,1.93,18.51,19941101,0,1
002387,黑牛食品,软饮料,广东,145.46,24830.65,46945.94,94526.68,80510.5,12723.5,54483.86,1.16,0.102,1.65,11.97,20100413,0,0
000030,富奥股份,汽车配件,吉林,17.38,124723.36,129325.14,868783.13,404625.25,163989.16,52929.53,0.41,0.401,3.88,2.4,19930929,0,0
601929,吉视传媒,影视音像,吉林,46.62,311080.13,311080.13,905516.81,173209.48,368646.13,90316.13,0.29,0.075,1.99,2.35,20120223,0,0
002103,广博股份,文教休闲,浙江,86.77,26256.3,45767.75,259483.91,74046.1,28196.59,80980.57,1.77,0.158,3.61,5.06,20070110,0,0
002322,理工环科,环境保护,浙江,101.9,28538.11,40131.5,307797.53,135461.06,21014.06,189932.44,4.73,0.173,7.2,3.27,20091218,0,0
002184,海得控制,软件服务,上海,435.53,13438.62,23939.34,208259.45,166477.02,17786.24,55348.13,2.31,0.043,4.62,5.37,20071116,0,0
